Facility ID,Facility Name,Address,City,State,ZIP Code,Location
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,
44022,CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,CONWAY,AR,72034,
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,Eglin AFB,FL,32542,
170204,"ROCK REGIONAL HOSPITAL, LLC",3251 NORTH ROCK ROAD,DERBY,KS,67037,POINT (-97.244407 37.582147)
171322,HAMILTON COUNTY HOSPITAL,700 NORTH HUSER,SYRACUSE,KS,67878,
174020,COTTONWOOD SPRINGS LLC,13351 S ARAPAHO DRIVE,OLATHE,KS,66062,POINT (-94.768837 38.885884)
181304,TRIGG COUNTY HOSPITAL,254 MAIN STREET,CADIZ,KY,42211,POINT (-87.821288 36.867247)
190160,GLENWOOD REGIONAL MEDICAL CENTER,503 MCMILLAN ROAD,WEST MONROE,LA,71291,POINT (-92.156761 32.513462)
214002,EASTERN SHORE HOSPITAL CENTER,POST OFFICE BOX 800,CAMBRIDGE,MD,21613,
231314,MCKENZIE HEALTH SYSTEM,120 N DELAWARE STREET,SANDUSKY,MI,48471,POINT (-82.832937 43.423426)
334045,ELMIRA PSYCH CENTER,WASHINGTON ST,ELMIRA,NY,14901,
34011F,NMC Camp Lejeune,100 Brewster Boulevard,Camp Lejeune,NC,28547,POINT (-77.357076 34.716771)
354004,PRAIRIE ST JOHNS,510 4TH STREET SOUTH,FARGO,ND,58103,POINT (-96.785691 46.869348)
370225,SUMMIT MEDICAL CENTER,1800 SOUTH RENAISSANCE BOULEVARD,EDMOND,OK,73013,POINT (-97.499435 35.635521)
390093,CLARION HOSPITAL,ONE HOSPITAL DRIVE,CLARION,PA,16214,
390325,OSS ORTHOPAEDIC HOSPITAL,1861 POWDER MILL RD,YORK,PA,17402,POINT (-76.696813 39.91669)
403301,UNIVERSITY PEDIATRIC HOSPITAL,PUERTO RICO MEDICAL CENTER IN RIO PIEDRAS,SAN JUAN,PR,935,
440007,UNITY MEDICAL CENTER,481 INTERSTATE DRIVE,MANCHESTER,TN,37355,POINT (-86.078141 35.497932)
453301,DRISCOLL CHILDRENS HOSPITAL,3533 S ALAMEDA BOX 6530,CORPUS CHRISTI,TX,78411,
460039,BEAR RIVER VALLEY HOSPITAL,905 NORTH 1000 WEST,TREMONTON,UT,84337,POINT (-112.181979 41.723768)
50005F,Madigan AMC (FT Lewis),9040 Jackson Avenue,Tacoma,WA,98431,
670062,BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,26791 HIGHWAY 380,AUBREY,TX,76227,
210022,SUBURBAN HOSPITAL,8600 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,POINT (-77.10922 38.997251)
54032,BHC ALHAMBRA HOSP,4619 N ROSEMEAD BLVD,ROSEMEAD,CA,91770,POINT (-118.073556 34.088658)
100106,DOCTORS MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,PERRY,FL,32348,POINT (-83.592009 30.121128)
